Access,"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,"2016/03/20 06:29:27.949","2016/03/20 08:02:17.949",5570
2,"2016/03/20 08:06:44.707","2016/03/20 09:39:34.707",5570
3,"2016/03/20 09:42:31.371","2016/03/20 11:15:21.371",5570
4,"2016/03/20 11:17:54.111","2016/03/20 12:50:44.111",5570
5,"2016/03/20 12:53:50.817","2016/03/20 14:26:40.817",5570
6,"2016/03/20 14:31:47.561","2016/03/20 16:04:37.561",5570
7,"2016/03/20 16:12:54.595","2016/03/20 17:45:44.595",5570
8,"2016/03/20 17:53:41.121","2016/03/20 19:26:31.121",5570
9,"2016/03/20 19:31:29.538","2016/03/20 21:04:19.538",5570
10,"2016/03/20 21:07:29.512","2016/03/20 22:40:19.512",5570
11,"2016/03/20 22:42:52.170","2016/03/21 00:15:42.170",5570
12,"2016/03/21 00:18:33.574","2016/03/21 01:51:23.574",5570
13,"2016/03/21 01:55:49.788","2016/03/21 03:28:39.788",5570
14,"2016/03/21 03:36:16.413","2016/03/21 05:09:06.413",5570
15,"2016/03/21 05:17:39.094","2016/03/21 06:50:29.094",5570
16,"2016/03/21 06:56:09.496","2016/03/21 08:28:59.496",5570
17,"2016/03/21 08:32:29.096","2016/03/21 10:05:19.096",5570
18,"2016/03/21 10:07:56.295","2016/03/21 11:40:46.295",5570
19,"2016/03/21 11:43:28.577","2016/03/21 13:16:18.577",5570
20,"2016/03/21 13:20:14.078","2016/03/21 14:53:04.078",5570
21,"2016/03/21 14:59:52.544","2016/03/21 16:32:42.544",5570
22,"2016/03/21 16:41:27.130","2016/03/21 18:14:17.130",5570
23,"2016/03/21 18:20:37.403","2016/03/21 19:53:27.403",5570
24,"2016/03/21 19:57:18.360","2016/03/21 21:30:08.360",5570
25,"2016/03/21 21:32:51.589","2016/03/21 23:05:41.589",5570
26,"2016/03/21 23:08:16.634","2016/03/22 00:41:06.634",5570
27,"2016/03/22 00:44:35.037","2016/03/22 02:17:25.037",5570
28,"2016/03/22 02:23:22.774","2016/03/22 03:56:12.774",5570
29,"2016/03/22 04:04:56.581","2016/03/22 05:37:46.581",5570
30,"2016/03/22 05:44:55.379","2016/03/22 07:17:45.379",5570
31,"2016/03/22 07:22:05.849","2016/03/22 08:54:55.849",5570
32,"2016/03/22 08:57:50.100","2016/03/22 10:30:40.100",5570
33,"2016/03/22 10:33:12.898","2016/03/22 12:06:02.898",5570
34,"2016/03/22 12:09:12.397","2016/03/22 13:42:02.397",5570
35,"2016/03/22 13:47:15.535","2016/03/22 15:20:05.535",5570
36,"2016/03/22 15:28:24.508","2016/03/22 17:01:14.508",5570
37,"2016/03/22 17:09:01.393","2016/03/22 18:41:51.393",5570
38,"2016/03/22 18:46:42.756","2016/03/22 20:19:32.756",5570
