"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
15 Mar 2016 00:00:00.000,15 Mar 2016 00:52:20.056,3140.056
15 Mar 2016 01:28:21.949,15 Mar 2016 02:24:05.607,3343.658
15 Mar 2016 03:00:06.796,15 Mar 2016 03:55:51.159,3344.364
15 Mar 2016 04:31:51.624,15 Mar 2016 05:27:36.712,3345.088
15 Mar 2016 06:03:36.435,15 Mar 2016 06:59:22.264,3345.829
15 Mar 2016 07:35:21.227,15 Mar 2016 08:31:07.817,3346.590
15 Mar 2016 09:07:05.998,15 Mar 2016 10:02:53.369,3347.370
15 Mar 2016 10:38:50.756,15 Mar 2016 11:34:38.923,3348.167
15 Mar 2016 12:10:35.490,15 Mar 2016 13:06:24.478,3348.989
15 Mar 2016 13:42:20.209,15 Mar 2016 14:38:10.035,3349.827
15 Mar 2016 15:14:04.910,15 Mar 2016 16:09:55.594,3350.684
15 Mar 2016 16:45:49.594,15 Mar 2016 17:41:41.155,3351.561
15 Mar 2016 18:17:34.262,15 Mar 2016 19:13:26.719,3352.457
15 Mar 2016 19:49:18.911,15 Mar 2016 20:45:12.284,3353.372
15 Mar 2016 21:21:03.545,15 Mar 2016 22:16:57.855,3354.310
15 Mar 2016 22:52:48.161,15 Mar 2016 23:48:43.424,3355.262
16 Mar 2016 00:24:32.761,16 Mar 2016 01:20:28.998,3356.237
16 Mar 2016 01:56:17.343,16 Mar 2016 02:52:14.577,3357.233
16 Mar 2016 03:28:01.911,16 Mar 2016 04:24:00.159,3358.248
16 Mar 2016 04:59:46.462,16 Mar 2016 05:55:45.745,3359.283
16 Mar 2016 06:31:30.998,16 Mar 2016 07:27:31.336,3360.337
16 Mar 2016 08:03:15.519,16 Mar 2016 08:59:16.931,3361.412
16 Mar 2016 09:35:00.025,16 Mar 2016 10:31:02.532,3362.506
16 Mar 2016 11:06:44.516,16 Mar 2016 12:02:48.137,3363.621
16 Mar 2016 12:38:28.989,16 Mar 2016 13:34:33.749,3364.760
16 Mar 2016 14:10:13.450,16 Mar 2016 15:06:19.367,3365.917
16 Mar 2016 15:41:57.896,16 Mar 2016 16:38:04.991,3367.094
16 Mar 2016 17:13:42.330,16 Mar 2016 18:09:50.621,3368.291
