"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,20 Mar 2016 21:55:17.844,20 Mar 2016 21:59:01.752,223.909
2,20 Mar 2016 23:27:09.850,20 Mar 2016 23:35:47.993,518.142
3,21 Mar 2016 01:01:27.814,21 Mar 2016 01:11:07.364,579.550
4,21 Mar 2016 02:36:27.664,21 Mar 2016 02:46:06.963,579.299
5,21 Mar 2016 04:11:47.306,21 Mar 2016 04:20:23.898,516.592
6,21 Mar 2016 05:48:37.621,21 Mar 2016 05:52:10.541,212.920
7,21 Mar 2016 22:21:27.494,21 Mar 2016 22:28:50.277,442.783
8,21 Mar 2016 23:55:04.304,22 Mar 2016 00:04:27.329,563.025
9,22 Mar 2016 01:29:50.740,22 Mar 2016 01:39:35.211,584.471
10,22 Mar 2016 03:05:00.501,22 Mar 2016 03:14:17.012,556.512
11,22 Mar 2016 04:40:45.149,22 Mar 2016 04:47:38.996,413.847
