"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,20 Mar 2016 11:38:36.135,20 Mar 2016 11:48:24.373,588.237
2,20 Mar 2016 13:15:51.772,20 Mar 2016 13:21:39.751,347.979
3,20 Mar 2016 23:09:00.698,20 Mar 2016 23:15:51.983,411.285
4,21 Mar 2016 00:42:53.921,21 Mar 2016 00:52:29.314,575.393
5,21 Mar 2016 10:32:52.811,21 Mar 2016 10:40:42.451,469.640
6,21 Mar 2016 12:07:27.748,21 Mar 2016 12:16:45.473,557.725
7,21 Mar 2016 23:36:06.446,21 Mar 2016 23:45:54.203,587.758
8,22 Mar 2016 01:13:27.963,22 Mar 2016 01:19:19.575,351.613
9,22 Mar 2016 11:00:25.848,22 Mar 2016 11:10:21.985,596.137
10,22 Mar 2016 12:38:41.871,22 Mar 2016 12:42:36.792,234.922
