Access,"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,"2016/03/20 06:53:57.483","2016/03/20 07:02:34.511",517.028
2,"2016/03/20 21:49:52.580","2016/03/20 21:57:05.565",432.985
3,"2016/03/20 23:23:22.747","2016/03/20 23:33:23.408",600.661
4,"2016/03/21 00:59:14.614","2016/03/21 01:08:52.916",578.302
5,"2016/03/21 02:35:37.736","2016/03/21 02:44:51.612",553.876
6,"2016/03/21 04:11:24.294","2016/03/21 04:21:15.825",591.531
7,"2016/03/21 05:46:55.716","2016/03/21 05:56:40.727",585.011
8,"2016/03/21 07:24:14.088","2016/03/21 07:28:42.991",268.903
9,"2016/03/21 22:17:02.860","2016/03/21 22:26:28.931",566.072
10,"2016/03/21 23:52:07.471","2016/03/22 00:02:04.643",597.172
11,"2016/03/22 01:28:28.353","2016/03/22 01:37:44.874",556.52
12,"2016/03/22 03:04:33.731","2016/03/22 03:14:04.310",570.579
13,"2016/03/22 04:40:04.197","2016/03/22 04:50:08.078",603.88
14,"2016/03/22 06:16:02.783","2016/03/22 06:24:12.796",490.013
