 "Job ", "Start  Time  (UTC) ", "Stop  Time  (UTC) ", "Duration  (sec) "
3F3,20  Mar  2016  05:45:00,20  Mar  2016  07:28:00,6180
3F2,20  Mar  2016  07:28:00,20  Mar  2016  07:28:00,0
3F2,20  Mar  2016  07:28:00,20  Mar  2016  07:28:00,0
3F3,20  Mar  2016  07:28:00,20  Mar  2016  07:28:00,0
Toulouse,20  Mar  2016  07:28:00,20  Mar  2016  07:28:00,0
Kourou,20  Mar  2016  11:39:00,20  Mar  2016  11:58:00,1140
3F2,20  Mar  2016  11:58:00,20  Mar  2016  11:58:00,0
3F2,20  Mar  2016  11:58:00,20  Mar  2016  11:58:00,0
3F3,20  Mar  2016  11:58:00,20  Mar  2016  11:58:00,0
3F3,20  Mar  2016  11:58:00,20  Mar  2016  11:58:00,0
3F3,20  Mar  2016  11:58:00,20  Mar  2016  11:58:00,0
UHF,20  Mar  2016  21:55:00,20  Mar  2016  21:59:00,240
Toulouse,20  Mar  2016  21:55:00,20  Mar  2016  22:07:00,720
3F2,20  Mar  2016  22:07:00,20  Mar  2016  22:07:00,0
3F2,20  Mar  2016  22:07:00,20  Mar  2016  22:07:00,0
3F2,20  Mar  2016  22:07:00,20  Mar  2016  22:07:00,0
3F2,20  Mar  2016  22:07:00,20  Mar  2016  22:07:00,0
3F2,20  Mar  2016  22:07:00,20  Mar  2016  22:07:00,0
3F2,20  Mar  2016  22:07:00,20  Mar  2016  22:07:00,0
3F2,20  Mar  2016  22:07:00,20  Mar  2016  22:07:00,0
3F3,20  Mar  2016  22:07:00,20  Mar  2016  22:07:00,0
3F3,20  Mar  2016  22:07:00,20  Mar  2016  22:07:00,0
3F3,20  Mar  2016  22:07:00,20  Mar  2016  22:07:00,0
3F3,20  Mar  2016  22:07:00,20  Mar  2016  22:07:00,0
3F3,20  Mar  2016  22:07:00,20  Mar  2016  22:07:00,0
3F3,20  Mar  2016  22:07:00,20  Mar  2016  22:07:00,0
Kourou,20  Mar  2016  22:07:00,20  Mar  2016  22:07:00,0
UHF,20  Mar  2016  23:27:00,20  Mar  2016  23:36:00,540
UHF,21  Mar  2016  01:01:00,21  Mar  2016  01:11:00,600
3F2,21  Mar  2016  01:01:00,21  Mar  2016  02:01:00,3600
3F2,21  Mar  2016  02:01:00,21  Mar  2016  02:01:00,0
3F3,21  Mar  2016  02:01:00,21  Mar  2016  02:01:00,0
3F3,21  Mar  2016  02:01:00,21  Mar  2016  02:01:00,0
Kourou,21  Mar  2016  02:01:00,21  Mar  2016  02:01:00,0
Kourou,21  Mar  2016  02:01:00,21  Mar  2016  02:01:00,0
Toulouse,21  Mar  2016  02:01:00,21  Mar  2016  02:01:00,0
Toulouse,21  Mar  2016  02:01:00,21  Mar  2016  02:01:00,0
UHF,21  Mar  2016  02:36:00,21  Mar  2016  02:46:00,600
UHF,21  Mar  2016  04:12:00,21  Mar  2016  04:20:00,480
UHF,21  Mar  2016  05:49:00,21  Mar  2016  05:52:00,180
Kourou,21  Mar  2016  10:33:00,21  Mar  2016  10:51:00,1080
3F2,21  Mar  2016  10:51:00,21  Mar  2016  10:51:00,0
3F2,21  Mar  2016  10:51:00,21  Mar  2016  10:51:00,0
3F2,21  Mar  2016  10:51:00,21  Mar  2016  10:51:00,0
3F2,21  Mar  2016  10:51:00,21  Mar  2016  10:51:00,0
3F2,21  Mar  2016  10:51:00,21  Mar  2016  10:51:00,0
3F3,21  Mar  2016  10:51:00,21  Mar  2016  10:51:00,0
3F3,21  Mar  2016  10:51:00,21  Mar  2016  10:51:00,0
3F3,21  Mar  2016  10:51:00,21  Mar  2016  10:51:00,0
3F3,21  Mar  2016  10:51:00,21  Mar  2016  10:51:00,0
3F3,21  Mar  2016  10:51:00,21  Mar  2016  10:51:00,0
3F3,21  Mar  2016  10:51:00,21  Mar  2016  10:51:00,0
Toulouse,21  Mar  2016  10:51:00,21  Mar  2016  10:51:00,0
Toulouse,21  Mar  2016  10:51:00,21  Mar  2016  10:51:00,0
Toulouse,21  Mar  2016  10:51:00,21  Mar  2016  10:51:00,0
Toulouse,21  Mar  2016  10:51:00,21  Mar  2016  10:51:00,0
Kourou,21  Mar  2016  12:07:00,21  Mar  2016  12:27:00,1200
3F2,21  Mar  2016  12:27:00,21  Mar  2016  12:27:00,0
3F3,21  Mar  2016  12:27:00,21  Mar  2016  12:27:00,0
3F3,21  Mar  2016  14:16:00,21  Mar  2016  15:59:00,6180
3F2,21  Mar  2016  15:59:00,21  Mar  2016  15:59:00,0
3F2,21  Mar  2016  15:59:00,21  Mar  2016  15:59:00,0
3F3,21  Mar  2016  15:59:00,21  Mar  2016  15:59:00,0
